TU FFR Code,Field Name,Displacement,Length,Type
AD02,Segment Type,1,4,A/N
AD02,Segment Length,5,3,N
AD02,Source Indicator,8,1,A
AD02,Address Qualifier,9,1,A/N
AD02,Address Type,10,1,A/N
AD02,Street Address Unparsed,11,70,A/N
AD02,City,81,27,A
AD02,State Code,108,2,A
AD02,ZIP Code,110,10,A/N
AD02,Reported Date,120,8,A/N
AD11,Segment Type,1,4,A/N
AD11,Segment Length,5,3,N
AD11,Source Indicator,8,1,A
AD11,Address Qualifier,9,1,A/N
AD11,Address Classification Code,10,1,A/N
AD11,Standardized Flag,11,1,A/N
AD11,Address Type,12,1,A/N
AD11,Address Number,13,10,A/N
AD11,Predirectional,23,2,A
AD11,Street Name,25,28,A/N
AD11,Postdirectional,53,2,A
AD11,Street Type Code,55,4,A
AD11,Unit Type,59,4,A
AD11,Unit Number,63,10,A/N
AD11,City Name,73,28,A
AD11,State Code,101,2,A
AD11,ZIP Code,103,5,A/N
AD11,ZIP Extension Code,108,4,A/N
AD11,Urbanization Name,112,30,A/N
AD11,Reported Date,142,8,A/N
AD11,Housing Status,150,1,A/N
AH11,Segment Type,1,4,A/N
AH11,Segment Length,5,3,N
AH11,History Effective Month,8,6,A/N
AH11,History Availability Indicator,14,1,A
AH11,Current Balance Amount,15,9,A/N
AH11,High Credit Amount,24,9,A/N
AH11,Credit Limit Amount,33,9,A/N
AH11,Payment Due Amount,42,9,A/N
AH11,Past Due Amount,51,9,A/N
AH11,Generic Remark Code,60,3,A/N
AH11,Rating Remark Code,63,3,A/N
AH11,Compliance Remark Code,66,3,A/N
AH11,Actual Payment Amount,69,9,A/N
AM01,Segment Type,1,4,A/N
AM01,Segment Length,5,3,N
AM01,Input Address Index,8,2,A/N
AM01,File Address Index,10,2,A/N
AM01,House Number Match,12,1,A/N
AM01,PreDirectional Match,13,1,A/N
AM01,Street Name Match,14,1,A/N
AM01,Street Type Match,15,1,A/N
AM01,Filler,16,1,A/N
AM01,City Name Match,17,1,A/N
AM01,State Code Match,18,1,A/N
AM01,Zip Code Match,19,1,A/N
AM01,Filler,20,1,A/N
AM01,Filler,21,1,A/N
AM01,Unit Number Match,22,1,A/N
AO01,Segment Type,1,4,A/N
AO01,Segment Length,5,3,N
AO01,Service Code,8,5,A/N
AO01,Service Status,13,2,A/N
AO01,Search Status,15,3,A/N
AR01,Segment Type,1,4,A/N
AR01,Segment Length,5,3,N
AR01,Attribute ID,8,8,A/N
AR01,Attribute Index ID,16,5,A/N
AR01,Attribute Value,21,40,A/N
AS01,Segment Type,1,4,A/N
AS01,Segment Length,5,3,N
AS01,Account Type,8,2,A
AS01,CoSigner Indicator,10,1,A
AS01,Balance Amount,11,9,A/N
AS01,Remaining Months,20,3,N
AS01,Scheduled Monthly Payment Amount,23,9,A/N
AS01,Times Late Last 24 Months Reported,32,2,N
AS01,Estimated APR,34,6,A/N
AS01,Account Status Indicator,40,1,A
AT11,Segment Type,1,4,A/N
AT11,Segment Length,5,3,N
AT11,Specialized Payment Type Code,8,1,A/N
AT11,Total Payment Due Amount,9,9,A/N
AT11,Total Payment Due Date,18,8,A/N
